grid_id,longitude,latitude,gold_label_strict,distance_to_nearest_deposit_km,distance_to_nearest_broad_gold_site_km,spatial_fold,Random Forest,XGBoost,final_ensemble_score,model_disagreement,final_rank,pre_gravity_rank,pre_gravity_score,rank_movement_after_gravity_reduction,final_tier
338,122.11598792747752,-29.92795544376571,0.0,16.548066592732663,11.101464093945852,2,0.14497254757895392,0.0489276722073555,0.09695010989315471,0.09604487537159842,76,132,0.0558290711947171,56,Lower
282,122.22024521312125,-30.19744879626301,0.0,15.504437876919052,10.546056847761816,2,0.17433251043412326,0.017568692564964294,0.09595060149954378,0.15676381786915897,77,76,0.2061394619240054,-1,Lower
62,121.07341507104042,-31.185591088753142,0.0,15.984546463162747,1.9213702817383835,4,0.1634097592483368,0.024959784001111984,0.0941847716247244,0.13844997524722483,78,50,0.3391842813084783,-28,Lower
375,122.01173064183382,-29.748293208767507,0.0,15.744096331703116,8.171831865277369,2,0.13149749346242973,0.04970189183950424,0.09059969265096698,0.08179560162292548,79,127,0.0746757333896698,48,Lower
413,122.01173064183382,-29.568630973769302,0.0,18.74937041808249,13.5072622497898,2,0.12340835103350035,0.057358600199222565,0.09038347561636145,0.06604975083427779,80,126,0.0763986742923884,46,Lower
54,122.22024521312125,-31.275422206252244,0.0,21.08018053481597,14.318889758526897,0,0.14709453118366714,0.030232394114136696,0.08866346264890192,0.11686213706953044,81,69,0.2260738814695408,-12,Lower
391,121.69895878490269,-29.658462091268404,0.0,44.19582534571094,18.936689395781787,2,0.14774636181262552,0.02845551073551178,0.08810093627406865,0.11929085107711374,82,120,0.0995399261830773,38,Lower
331,121.38618692797156,-29.92795544376571,0.0,23.37139726917041,19.748953050876736,3,0.15814036689024608,0.017081202939152718,0.0876107849146994,0.14105916395109336,83,71,0.219412636861625,-12,Lower
63,121.17767235668413,-31.185591088753142,0.0,16.22709868622054,8.013506422793172,4,0.1506328088714565,0.02146810106933117,0.08605045497039383,0.12916470780212533,84,45,0.3572893178682285,-39,Lower
299,122.01173064183382,-30.10761767876392,0.0,27.12393004162256,5.45444623218069,2,0.13605801064039505,0.03310168534517288,0.08457984799278397,0.10295632529522217,85,115,0.1035337878513761,30,Lower
227,122.42875978440868,-30.466942148760324,0.0,19.52918150582115,15.585814859666645,0,0.12943929124191914,0.033039264380931854,0.0812392778114255,0.09640002686098728,86,133,0.0444494338396827,47,Lower
392,121.8032160705464,-29.658462091268404,0.0,34.145230344941325,14.532238506428424,2,0.1266947879148227,0.022671280428767204,0.07468303417179495,0.10402350748605549,87,122,0.0962368811762201,35,Lower
369,121.38618692797156,-29.748293208767507,0.0,24.534158875731872,24.534158875731872,3,0.12675829950302056,0.020206954330205917,0.07348262691661324,0.10655134517281464,88,89,0.1674932763406814,1,Lower
412,121.90747335619012,-29.568630973769302,0.0,27.081311119564365,5.663203965382365,2,0.09622899445395812,0.037126488983631134,0.06667774171879462,0.059102505470326985,89,150,0.0196512213750365,61,Lower
